".chain",".iteration",".draw","b_Intercept","sd_author_year__Intercept"
1,1,1,-1.69155070656944,1.85223005713813
1,2,2,-0.608437721678941,1.37263277610236
1,3,3,-0.730442348109091,1.82558612081622
1,4,4,-1.1901858217817,1.48228927034565
1,5,5,-1.44789378428454,1.88140895603925
1,6,6,-1.0060924093785,1.94121739761991
1,7,7,-1.6714711707375,1.22315827631204
1,8,8,-1.97576513295072,1.66258297699235
1,9,9,-1.85209447203542,1.38300682436651
1,10,10,-1.86745577135277,1.55183627618001
1,11,11,-0.790585793972395,1.87417168688325
1,12,12,-0.722806768982724,1.93437924698688
1,13,13,-0.846144447217314,1.55931562578183
1,14,14,-0.879051060086647,2.07559317426853
1,15,15,-0.361096343960093,1.79362259395961
1,16,16,-0.0771398333746338,1.75872730563215
1,17,17,-2.16855412900901,1.94445778748932
1,18,18,-1.89644359749198,1.84931469451293
1,19,19,-1.37941298597603,1.29656783241209
1,20,20,-1.46161234663769,1.35798262767679
1,21,21,-1.33421512392223,1.48359894985839
1,22,22,-2.02676914246567,1.46976805605278
1,23,23,-0.857510520019267,1.59214838757624
1,24,24,-2.39269478109245,1.53617558962656
1,25,25,-2.0432215820183,1.21230972542833
1,26,26,-1.91598752697737,1.13393197197121
1,27,27,-1.44303962645012,0.852422644091626
1,28,28,-1.63826569042773,1.53055766853867
1,29,29,-1.1587778990547,1.64105946220761
1,30,30,-0.691278146046729,1.71276467596217
1,31,31,-1.01083697839748,1.54637394673479
1,32,32,-1.29309439296379,1.8387769950078
1,33,33,-1.40671452935639,1.83273322935213
1,34,34,-1.23182827825052,1.47500063416414
1,35,35,-0.749146889529043,1.52692386155296
1,36,36,-1.77697920510619,1.43536457899046
1,37,37,-1.2689631710611,2.43115854241092
1,38,38,-1.42527198035299,1.30472976448922
1,39,39,-1.81686410269031,0.779637584720855
1,40,40,-0.98233669541576,2.22462601069801
1,41,41,-1.26068584335444,1.29457330637107
1,42,42,-0.832890946596375,0.829962158902714
1,43,43,-1.88055858181509,2.3951113299578
1,44,44,-1.80503729955624,1.70100496452631
1,45,45,-2.06499068684256,2.14298488273759
1,46,46,-1.92793659185264,1.96924698125457
1,47,47,-1.27719657771551,2.71963853877602
1,48,48,-0.781998405639609,2.36009740941311
1,49,49,-0.797989321851026,2.47985300415051
1,50,50,-1.33004052965331,2.34328012547942
1,51,51,-1.09510995326322,0.889128707722583
1,52,52,-1.46740350447362,1.37665402241905
1,53,53,-1.64787761750095,1.01244918006234
1,54,54,-1.46676809540346,0.902693846162462
1,55,55,-1.4856742559416,0.873559274160696
1,56,56,-1.44260574532226,0.940342551473511
1,57,57,-1.5272833395122,0.958277481535334
1,58,58,-2.37216351951617,1.28709233691041
1,59,59,-1.35158304851656,1.12191656461979
1,60,60,-1.09126464385797,1.77782435711438
